Customer Group,Set Source Warehouse,SO Item,Category,DELIVERY Note NO,DELIVERY Note DATE,DELIVERY Note ITEM,DELIVERY Note QTY,DN Total CBM,Transporter,PLACE Of SUPPLY
BlinkIT,HR11 - LORPL,LTBC52,Litt,DN-25-26-142710,14-02-26,LTBC52,50,0.073125,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLBTGL02,Kitchen & Dining,DN-25-26-142710,14-02-26,LLBTGL02,3,0.01250256,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,EDPB02,Edel,DN-25-26-142710,14-02-26,EDPB02,3,0.00189,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,EDPB01,Edel,DN-25-26-142710,14-02-26,EDPB01,5,0.00315,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,EDKCC02,Edel,DN-25-26-142710,14-02-26,EDKCC02,9,9.00E-06,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,EDKCC01,Edel,DN-25-26-142710,14-02-26,EDKCC01,4,4.00E-06,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,EDHA03,Edel,,,,,,,
BlinkIT,HR11 - LORPL,EDDS01,Edel,DN-25-26-142710,14-02-26,EDDS01,14,0.00631764,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LTLC25,Litt,DN-25-26-142616,14-02-26,LTLC25,1,0.001332,DTDC EXPRESS LIMITED,Sonipat_Haryana
BlinkIT,HR11 - LORPL,LTBC02,Litt,DN-25-26-142616,14-02-26,LTBC02,12,0.15162,DTDC EXPRESS LIMITED,Sonipat_Haryana
BlinkIT,HR11 - LORPL,LLYM92,Sports & Fitness,DN-25-26-142675,14-02-26,LLYM92,72,0.632448,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLSCTB01,Sports & Fitness,DN-25-26-142675,14-02-26,LLSCTB01,6,0.00588,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLSCBP03,Sports & Fitness,DN-25-26-142675,14-02-26,LLSCBP03,6,0.03555,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLSCBP02,Sports & Fitness,DN-25-26-142675,14-02-26,LLSCBP02,8,0.13312,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLSCABG04,Sports & Fitness,DN-25-26-142675,14-02-26,LLSCABG04,12,0.000405,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLPVCHD03,Sports & Fitness,DN-25-26-142675,14-02-26,LLPVCHD03,23,0.7866,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLPVCHD01,Sports & Fitness,DN-25-26-142675,14-02-26,LLPVCHD01,9,0.0216,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLPS04,Home Improvements,DN-25-26-142675,14-02-26,LLPS04,6,0.10584,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLPS03,Home Improvements,DN-25-26-142675,14-02-26,LLPS03,5,0.1104,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLPCR04,Litt,DN-25-26-142675,14-02-26,LLPCR04,4,0.14168,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLPCB01,Litt,DN-25-26-142675,14-02-26,LLPCB01,2,0.0135,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLPBVA10,Electronics,DN-25-26-142675,14-02-26,LLPBVA10,20,0.00858,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLNBB001,SHA,DN-25-26-142675,14-02-26,LLNBB001,6,0.046332,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLMS02,Home Improvements,DN-25-26-142675,14-02-26,LLMS02,1,0.006489,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLMG93,SHA,DN-25-26-142675,14-02-26,LLMG93,24,0.41454,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLMG39,SHA,DN-25-26-142675,14-02-26,LLMG39,20,0.46656,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLMG05,SHA,DN-25-26-142675,14-02-26,LLMG05,4,0.0969375,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLLGWS002,Lawn and Garden,DN-25-26-142675,14-02-26,LLLGWS002,16,0.00336,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLLGSC001,Lawn and Garden,DN-25-26-142675,14-02-26,LLLGSC001,7,0.00693,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLKAFB06,Home Improvements,DN-25-26-142675,14-02-26,LLKAFB06,1,0.00096,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLKAFB05,Home Improvements,DN-25-26-142675,14-02-26,LLKAFB05,5,0.10044,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLIRC001,SHA,DN-25-26-142675,14-02-26,LLIRC001,36,0.63063,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLHIOS04,Home Improvements,DN-25-26-142675,14-02-26,LLHIOS04,8,0.009856,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLHIOP01,Home Improvements,DN-25-26-142675,14-02-26,LLHIOP01,6,0.0432,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLHIIB05,Home Improvements,DN-25-26-142675,14-02-26,LLHIIB05,4,0.1777816,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLHIHFX01,Home Improvements,DN-25-26-142675,14-02-26,LLHIHFX01,4,0.006336,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLHIHFA01,Home Improvements,DN-25-26-142675,14-02-26,LLHIHFA01,4,0.007854,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLHIEG01,Home Improvements,DN-25-26-142675,14-02-26,LLHIEG01,4,0.005474,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLHICB01,Home Improvements,DN-25-26-142675,14-02-26,LLHICB01,4,0.045486,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLHARS01,Home Improvements,DN-25-26-142675,14-02-26,LLHARS01,14,0.325703,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLGS22,Kitchen & Dining,DN-25-26-142675,14-02-26,LLGS22,2,0.10125,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLGS13,Kitchen & Dining,DN-25-26-142675,14-02-26,LLGS13,1,0.0336,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLFSGB02,Sports & Fitness,DN-25-26-142675,14-02-26,LLFSGB02,22,0.11253,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLFGFP24,Kitchen & Dining,DN-25-26-142675,14-02-26,LLFGFP24,20,0.16185,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLFGCR24,Kitchen & Dining,DN-25-26-142675,14-02-26,LLFGCR24,8,0.11826,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLFG3PC,Kitchen & Dining,DN-25-26-142675,14-02-26,LLFG3PC,6,0.08712,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLFAHGC01,Sports & Fitness,DN-25-26-142675,14-02-26,LLFAHGC01,12,0.009792,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLFAHG01,Sports & Fitness,DN-25-26-142675,14-02-26,LLFAHG01,4,0.00231,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLEWH18,Emerging Innovations,DN-25-26-142675,14-02-26,LLEWH18,54,0.1796256,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLEK02,SHA,DN-25-26-142675,14-02-26,LLEK02,60,0.5928,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLEEB09,Emerging Innovations,DN-25-26-142675,14-02-26,LLEEB09,60,0.2003685,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLEB05,SHA,DN-25-26-142675,14-02-26,LLEB05,12,0.045696,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLCR02GL,Kitchen & Dining,DN-25-26-142675,14-02-26,LLCR02GL,16,0.094208,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLCMML108,Home Improvements,DN-25-26-142675,14-02-26,LLCMML108,12,0.13392,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLCKSR01,Toys,DN-25-26-142675,14-02-26,LLCKSR01,1,0.09,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLCHR01,Toys,DN-25-26-142675,14-02-26,LLCHR01,1,0.05832,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLCBND01,Home Improvements,DN-25-26-142675,14-02-26,LLCBND01,25,0.055625,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLCB01,Kitchen & Dining,DN-25-26-142675,14-02-26,LLCB01,19,0.044631,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLBTK03,Kitchen & Dining,DN-25-26-142675,14-02-26,LLBTK03,6,0.00912,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLBTK02,Kitchen & Dining,DN-25-26-142675,14-02-26,LLBTK02,7,0.01064,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLBT03,Kitchen & Dining,DN-25-26-142675,14-02-26,LLBT03,14,0.02983925,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLBLB03,Kitchen & Dining,DN-25-26-142675,14-02-26,LLBLB03,8,0.020608,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLBLB02,Kitchen & Dining,DN-25-26-142675,14-02-26,LLBLB02,24,0.063168,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLBACP01,Home Improvements,DN-25-26-142675,14-02-26,LLBACP01,6,0.008448,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LLAW04,Sports & Fitness,DN-25-26-142675,14-02-26,LLAW04,6,0.027972,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,LTBC52,Litt,DN-25-26-142676-1,14-02-26,LTBC52,100,0.14625,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,EDNC01,Edel,DN-25-26-142676-1,14-02-26,EDNC01,60,3.60E-05,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,EDMHB20,Edel,DN-25-26-142676-1,14-02-26,EDMHB20,7,0.002716392,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,EDMHB17,Edel,DN-25-26-142676-1,14-02-26,EDMHB17,5,0.001700985,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,EDMHB16,Edel,DN-25-26-142676-1,14-02-26,EDMHB16,6,0.00183183,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,EDKCC02,Edel,DN-25-26-142676-1,14-02-26,EDKCC02,11,1.10E-05,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,EDKCC01,Edel,DN-25-26-142676-1,14-02-26,EDKCC01,12,1.20E-05,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,EDFS01,Edel,DN-25-26-142676-1,14-02-26,EDFS01,60,0.0011232,Loadit Supply Services Pvt Ltd,Rajpura_Punjab
BlinkIT,HR11 - LORPL,SE_TI_011,GoMechanic,DN-25-26-142666-1,14-02-26,SE_TI_011,4,0.009555,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLYM92,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLYM92,24,0.210816,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLYM605,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLYM605,6,0.071736,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLVF008,Kitchen & Dining,DN-25-26-142666-1,14-02-26,LLVF008,6,0.01922325,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLSR01,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLSR01,100,0.0792,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLSCBP03,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLSCBP03,10,0.05925,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLSCAG01,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLSCAG01,4,0.00672,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLSCABG04,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLSCABG04,12,0.000405,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLPVCHD01,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLPVCHD01,11,0.0264,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLPS04,Home Improvements,DN-25-26-142666-1,14-02-26,LLPS04,1,0.01764,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLPS03,Home Improvements,DN-25-26-142666-1,14-02-26,LLPS03,4,0.08832,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLPBVA10,Electronics,DN-25-26-142666-1,14-02-26,LLPBVA10,20,0.00858,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLMG93,SHA,DN-25-26-142666-1,14-02-26,LLMG93,24,0.41454,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLMG39,SHA,DN-25-26-142666-1,14-02-26,LLMG39,8,0.186624,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLMG23,SHA,DN-25-26-142666-1,14-02-26,LLMG23,12,0.208656,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLM612A,Health Care Devices,DN-25-26-142666-1,14-02-26,LLM612A,60,0.135,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLLGWS002,Lawn and Garden,DN-25-26-142666-1,14-02-26,LLLGWS002,13,0.00273,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLLGSDT001,Lawn and Garden,,,,,,,
BlinkIT,HR11 - LORPL,LLLGPL002,Lawn and Garden,DN-25-26-142666-1,14-02-26,LLLGPL002,4,0.003024,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLLGK001,Lawn and Garden,DN-25-26-142666-1,14-02-26,LLLGK001,1,0.001767,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLLGHEX001,Lawn and Garden,DN-25-26-142666-1,14-02-26,LLLGHEX001,24,0.005616,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLKAFB05,Home Improvements,DN-25-26-142666-1,14-02-26,LLKAFB05,3,0.060264,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLIRC001,SHA,DN-25-26-142666-1,14-02-26,LLIRC001,6,0.105105,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLHISIP01,Home Improvements,DN-25-26-142666-1,14-02-26,LLHISIP01,32,0.088704,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLHIOS03,Home Improvements,DN-25-26-142666-1,14-02-26,LLHIOS03,4,0.0053788,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLHIOP01,Home Improvements,DN-25-26-142666-1,14-02-26,LLHIOP01,6,0.0432,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLHICDR04,Home Improvements,DN-25-26-142666-1,14-02-26,LLHICDR04,5,0.45156,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLHIAIP02,Home Improvements,DN-25-26-142666-1,14-02-26,LLHIAIP02,14,0.08064,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLHIAG01,Home Improvements,DN-25-26-142666-1,14-02-26,LLHIAG01,8,0.00765,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLHARS01,Home Improvements,DN-25-26-142666-1,14-02-26,LLHARS01,9,0.2093805,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLFAWS02,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLFAWS02,12,0.00648,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLFAHGC01,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLFAHGC01,12,0.009792,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLEWH18,Emerging Innovations,DN-25-26-142666-1,14-02-26,LLEWH18,27,0.0898128,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLEEB09,Emerging Innovations,DN-25-26-142666-1,14-02-26,LLEEB09,30,0.10018425,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLCTSLW03,Kitchen & Dining,DN-25-26-142666-1,14-02-26,LLCTSLW03,24,0.003564,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLCMML108,Home Improvements,DN-25-26-142666-1,14-02-26,LLCMML108,12,0.13392,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLCGT07,Kitchen & Dining,DN-25-26-142666-1,14-02-26,LLCGT07,50,0.06075,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLBTK03,Kitchen & Dining,DN-25-26-142666-1,14-02-26,LLBTK03,7,0.01064,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLBTK02,Kitchen & Dining,DN-25-26-142666-1,14-02-26,LLBTK02,6,0.00912,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLBT02,Kitchen & Dining,DN-25-26-142666-1,14-02-26,LLBT02,12,0.01755,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLBS01,Home Improvements,DN-25-26-142666-1,14-02-26,LLBS01,40,0.1344,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLBLB03,Kitchen & Dining,DN-25-26-142666-1,14-02-26,LLBLB03,16,0.041216,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLBC01,Home Improvements,DN-25-26-142666-1,14-02-26,LLBC01,40,0.16464,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLBAHF09,Home Improvements,DN-25-26-142666-1,14-02-26,LLBAHF09,40,0.063,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLAS04,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLAS04,1,0.024012,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLAR01,Sports & Fitness,DN-25-26-142666-1,14-02-26,LLAR01,40,0.1008,Loadit Supply Services Pvt Ltd,Dehradun_Uttarakhand
BlinkIT,HR11 - LORPL,LLYM92,Sports & Fitness,DN-25-26-142711,14-02-26,LLYM92,60,0.52704,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLYB102,Sports & Fitness,DN-25-26-142711,14-02-26,LLYB102,6,0.015525,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLVF008,Kitchen & Dining,DN-25-26-142711,14-02-26,LLVF008,6,0.01922325,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLSCBP03,Sports & Fitness,DN-25-26-142711,14-02-26,LLSCBP03,16,0.0948,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLSCBP02,Sports & Fitness,DN-25-26-142711,14-02-26,LLSCBP02,6,0.09984,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLSCABG04,Sports & Fitness,DN-25-26-142711,14-02-26,LLSCABG04,36,0.001215,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLPVCHD03,Sports & Fitness,DN-25-26-142711,14-02-26,LLPVCHD03,32,1.0944,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLPS04,Home Improvements,DN-25-26-142711,14-02-26,LLPS04,2,0.03528,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLPCR04,Litt,DN-25-26-142711,14-02-26,LLPCR04,2,0.07084,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLPBVA20,Electronics,DN-25-26-142711,14-02-26,LLPBVA20,20,0.00598752,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLMS02,Home Improvements,DN-25-26-142711,14-02-26,LLMS02,9,0.058401,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLMG93,SHA,DN-25-26-142711,14-02-26,LLMG93,24,0.41454,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLMG39,SHA,DN-25-26-142711,14-02-26,LLMG39,12,0.279936,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLMG23,SHA,DN-25-26-142711,14-02-26,LLMG23,24,0.417312,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLMC01,SHA,DN-25-26-142711,14-02-26,LLMC01,72,0.462672,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLLGSDT001,Lawn and Garden,,,,,,,
BlinkIT,HR11 - LORPL,LLLGK001,Lawn and Garden,DN-25-26-142711,14-02-26,LLLGK001,20,0.03534,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLLGHM001,Lawn and Garden,DN-25-26-142711,14-02-26,LLLGHM001,3,0.0039195,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLLGHEX001,Lawn and Garden,DN-25-26-142711,14-02-26,LLLGHEX001,4,0.000936,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLLGBX001,Lawn and Garden,DN-25-26-142711,14-02-26,LLLGBX001,3,0.001593,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLKAFB06,Home Improvements,DN-25-26-142711,14-02-26,LLKAFB06,8,0.00768,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHISR01,Home Improvements,DN-25-26-142711,14-02-26,LLHISR01,3,0.03264,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHISIP01,Home Improvements,DN-25-26-142711,14-02-26,LLHISIP01,32,0.088704,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHIPCV01,Home Improvements,DN-25-26-142711,14-02-26,LLHIPCV01,8,0.002376,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHIOS03,Home Improvements,DN-25-26-142711,14-02-26,LLHIOS03,4,0.0053788,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHIIB05,Home Improvements,DN-25-26-142711,14-02-26,LLHIIB05,8,0.3555632,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHICS09,Home Improvements,DN-25-26-142711,14-02-26,LLHICS09,3,0.070420992,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHICS02,Home Improvements,DN-25-26-142711,14-02-26,LLHICS02,60,0.3978,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHICDR04,Home Improvements,DN-25-26-142711,14-02-26,LLHICDR04,4,0.361248,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHIBT01,Home Improvements,DN-25-26-142711,14-02-26,LLHIBT01,4,0.003072,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
BlinkIT,HR11 - LORPL,LLHIAV02,Home Improvements,DN-25-26-142711,14-02-26,LLHIAV02,2,0.001836,Loadit Supply Services Pvt Ltd,Lucknow_Uttar Pradesh
